,t,V,X,P,wo2
309,273.935348369862,11.1506545244396,3090,329.877904481170,2552745.08416179
310,274.832224259166,11.1498147282751,3100,329.840531459330,2552449.25814181
311,275.729167702468,11.1489749712465,3110,329.803163009793,2552153.44335717
312,276.626178706792,11.1481352534113,3120,329.765799134510,2551857.63980650
313,277.523257279157,11.1472955748271,3130,329.728439835435,2551561.84748842
314,278.42040342658,11.1464559355512,3140,329.691085114503,2551266.06640157
315,279.317617156073,11.1456163356413,3150,329.653734973677,2550970.29654458
316,280.214898474645,11.144776775155,3160,329.616389414902,2550674.53791606
317,281.112247389301,11.1439372541499,3170,329.579048440133,2550378.79051465
318,282.009663907041,11.1430977726836,3180,329.541712051316,2550083.05433897
319,282.907148034863,11.1422583308139,3190,329.504380250410,2549787.32938765
320,283.804699779761,11.1414189285985,3200,329.467053039372,2549491.61565930
321,284.702319148724,11.1405795660951,3210,329.429730420147,2549195.91315257
322,285.600006148738,11.1397402433615,3220,329.392412394696,2548900.22186606
323,286.497760786785,11.1389009604557,3230,329.355098964982,2548604.54179840
324,287.395583069844,11.1380617174354,3240,329.317790132952,2548308.87294821
325,288.293473004889,11.1372225143587,3250,329.280485900578,2548013.21531411
326,289.191430598891,11.1363833512834,3260,329.243186269809,2547717.56889473
327,290.089455858816,11.1355442282675,3270,329.205891242609,2547421.93368867
328,290.987548791628,11.134705145369,3280,329.168600820938,2547126.30969457
329,291.885709404286,11.133866102646,3290,329.131315006757,2546830.69691104
330,292.783937703745,11.1330271001567,3300,329.094033802039,2546535.09533670
331,293.682233696956,11.132188137959,3310,329.056757208737,2546239.50497016
332,294.580597390867,11.1313492161113,3320,329.019485228822,2545943.92581004
333,295.479028792422,11.1305103346716,3330,328.982217864255,2545648.35785496
334,296.37752790856,11.1296714936983,3340,328.944955117011,2545352.80110353
335,297.276094746218,11.1288326932495,3350,328.907696989048,2545057.25555436
336,298.174729312328,11.1279939333837,3360,328.870443482342,2544761.72120608
337,299.073431613818,11.1271552141591,3370,328.833194598860,2544466.19805728
338,299.972201657612,11.1263165356342,3380,328.795950340575,2544170.68610660
339,300.871039450631,11.1254778978673,3390,328.758710709453,2543875.18535263
340,301.769944999791,11.1246393009169,3400,328.721475707468,2543579.69579398
341,302.668918312005,11.1238007448415,3410,328.684245336596,2543284.21742928
342,303.567959394182,11.1229622296996,3420,328.647019598809,2542988.75025713
343,304.467068253226,11.1221237555498,3430,328.609798496083,2542693.29427613
344,305.366244896039,11.1212853224507,3440,328.572582030393,2542397.84948490
345,306.265489329516,11.1204469304609,3450,328.535370203717,2542102.41588204
346,307.164801560552,11.1196085796391,3460,328.498163018032,2541806.99346617
347,308.064181596035,11.118770270044,3470,328.460960475315,2541511.58223588
348,308.963629442851,11.1179320017344,3480,328.423762577552,2541216.18218979
349,309.863145107879,11.1170937747689,3490,328.386569326711,2540920.79332649
350,310.762728597999,11.1162555892065,3500,328.349380724785,2540625.41564460
351,311.662379920083,11.1154174451059,3510,328.312196773747,2540330.04914272
352,312.562099080999,11.1145793425262,3520,328.275017475593,2540034.69381945
353,313.461886087614,11.1137412815261,3530,328.237842832292,2539739.34967339
354,314.361740946789,11.1129032621647,3540,328.200672845837,2539444.01670314
355,315.261663665381,11.1120652845009,3550,328.163507518213,2539148.69490731
356,316.161654250244,11.1112273485939,3560,328.126346851409,2538853.38428450
357,317.061712708226,11.1103894545026,3570,328.089190847409,2538558.08483331
358,317.961839046173,11.1095516022861,3580,328.052039508200,2538262.79655233
359,318.862033270926,11.1087137920037,3590,328.014892835778,2537967.51944017
360,319.762295389323,11.1078760237145,3600,327.977750832128,2537672.25349541
361,320.662625408197,11.1070382974776,3610,327.940613499240,2537376.99871667
362,321.563023334377,11.1062006133525,3620,327.903480839115,2537081.75510254
363,322.463489174688,11.1053629713982,3630,327.866352853734,2536786.52265161
364,323.364022935951,11.1045253716743,3640,327.829229545101,2536491.30136247
365,324.264624624984,11.1036878142399,3650,327.792110915202,2536196.09123373
366,325.1652942486,11.1028502991546,3660,327.754996966041,2535900.89226397
367,326.066031813607,11.1020128264778,3670,327.717887699612,2535605.70445180
368,326.966837326811,11.1011753962689,3680,327.680783117911,2535310.52779579
369,327.867710795012,11.1003380085874,3690,327.643683222935,2535015.36229456
370,328.768652225007,11.099500663493,3700,327.606588016692,2534720.20794667
371,329.669661623589,11.0986633610451,3710,327.569497501171,2534425.06475073
372,330.570738997547,11.0978261013034,3720,327.532411678380,2534129.93270533
373,331.471884353664,11.0969888843275,3730,327.495330550319,2533834.81180906
374,332.373097698722,11.0961517101772,3740,327.458254118994,2533539.70206050
375,333.274379039497,11.0953145789121,3750,327.421182386404,2533244.60345824
376,334.175728382761,11.094477490592,3760,327.384115354557,2532949.51600087
377,335.077145735282,11.0936404452768,3770,327.347053025460,2532654.43968697
378,335.978631103824,11.0928034430262,3780,327.309995401116,2532359.37451514
379,336.880184495147,11.0919664839002,3790,327.272942483540,2532064.32048396
380,337.781805916006,11.0911295679586,3800,327.235894274731,2531769.27759201
381,338.683495373154,11.0902926952614,3810,327.198850776704,2531474.24583787
382,339.585252873337,11.0894558658686,3820,327.161811991470,2531179.22522013
383,340.4870784233,11.0886190798402,3830,327.124777921037,2530884.21573738
384,341.38897202978,11.0877823372363,3840,327.087748567420,2530589.21738819
385,342.290933699514,11.0869456381169,3850,327.050723932631,2530294.23017114
386,343.192963439231,11.0861089825421,3860,327.013704018677,2529999.25408482
387,344.095061255659,11.0852723705723,3870,326.976688827589,2529704.28912781
388,344.997227155519,11.0844358022674,3880,326.939678361366,2529409.33529868
389,345.899461145531,11.0835992776879,3890,326.902672622037,2529114.39259601
390,346.801763232408,11.082762796894,3900,326.865671611616,2528819.46101839
391,347.70413342286,11.0819263599459,3910,326.828675332116,2528524.54056438
392,348.606571723593,11.0810899669041,3920,326.791683785564,2528229.63123257
393,349.509078141308,11.080253617829,3930,326.754696973980,2527934.73302154
394,350.411652682702,11.0794173127809,3940,326.717714899383,2527639.84592985
395,351.314295354469,11.0785810518203,3950,326.680737563792,2527344.96995608
